2017-06-14 09:13:36.424 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApi\App_Data\' with level Info
2017-06-14 09:13:36.737 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 09:13:36.812 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CUBICTELECOM\ArminA" /add
2017-06-14 09:13:36.940 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:13:36.954 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:13:36.971 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:13:36.989 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi.Retries] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:13:37.000 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:13:37.023 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:13:37.031 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:13:37.081 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-06-14 09:14:27.200 INFO  WebApi.Handlers.ShippingProcessedHandler Received ShippingProcessedEvent, OrderId = 2f43dca0-46b7-475c-9e95-91de4b7849ac, Doing some additional operations...
2017-06-14 09:31:55.267 INFO  DefaultFactory Logging to 'C:\Users\ArminA\Source\GitHub\microservices-nservicebus-retail-demo\WebApi\App_Data\' with level Info
2017-06-14 09:31:55.487 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '08/06/2017'

2017-06-14 09:31:55.539 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'CUBICTELECOM\ArminA' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "CUBICTELECOM\ArminA" /add
2017-06-14 09:31:55.647 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:31:55.661 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi.Timeouts] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-06-14 09:31:55.669 WARN  NServiceBus.QueuePermissions Queue [private$\WebApi.TimeoutsDispatcher] is running with [Everyone] with AccessRights set to [GetQueueProperties, GetQueuePermissions]. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
